Date,Open,High,Low,Close,Adj Close,Volume
2022-10-06,1.443053,1.464891,1.451055,1.457710,1.457710,26436954
2022-10-07,1.457782,1.464030,1.433540,1.447483,1.447483,18991495
2022-10-08,1.447361,1.461884,1.437685,1.444623,1.444623,11721793
2022-10-09,1.444593,1.466480,1.441950,1.466134,1.466134,11304146
2022-10-10,1.465968,1.478516,1.412257,1.412257,1.412257,17474484
2022-10-11,1.412059,1.412068,1.375807,1.384840,1.384840,19545917
2022-10-12,1.384810,1.403663,1.384071,1.394221,1.394221,12831316
2022-10-13,1.394191,1.447647,1.305296,1.417673,1.417673,50049198
2022-10-14,1.417752,1.462388,1.395609,1.406573,1.406573,27073366
2022-10-15,1.406492,1.418794,1.386809,1.393806,1.393806,12665868
2022-10-16,1.393706,1.407661,1.380303,1.390982,1.390982,13468526
2022-10-17,1.390989,1.415347,1.380619,1.411923,1.411923,17539300
2022-10-18,1.412078,1.426757,1.375339,1.394227,1.394227,23358726
2022-10-19,1.394267,1.398458,1.358528,1.359563,1.359563,26229030
2022-10-20,1.359655,1.378862,1.339950,1.350954,1.350954,20854195
2022-10-21,1.350805,1.369375,1.336441,1.361566,1.361566,20049369
2022-10-22,1.361582,1.369858,1.348616,1.358632,1.358632,11166257
2022-10-23,1.358794,1.398492,1.351426,1.392327,1.392327,16298630
2022-10-24,1.392359,1.415087,1.360568,1.369544,1.369544,48710554
2022-10-25,1.369464,1.416489,1.369792,1.394288,1.394288,28943226
2022-10-26,1.393975,1.443446,1.394066,1.421056,1.421056,32048654
2022-10-27,1.421166,1.473648,1.416596,1.419556,1.419556,31812787
2022-10-28,1.419560,1.464899,1.405758,1.447496,1.447496,27588800
2022-10-29,1.447358,1.485447,1.435313,1.447791,1.447791,32299067
2022-10-30,1.448067,1.486427,1.411841,1.429533,1.429533,27419500
2022-10-31,1.429307,1.484709,1.421911,1.444012,1.444012,34397064
2022-11-01,1.443977,1.445000,1.426658,1.432665,1.432665,28035701
2022-11-02,1.432580,1.440004,1.381680,1.408126,1.408126,34276652
2022-11-03,1.408243,1.452092,1.395967,1.404619,1.404619,54128082
2022-11-04,1.404677,1.446917,1.398696,1.446917,1.446917,73117084
2022-11-05,1.446674,1.475545,1.435038,1.447700,1.447700,51903834
2022-11-06,1.447831,1.454623,1.382455,1.384155,1.384155,33664241
2022-11-07,1.383786,1.399767,1.343923,1.359508,1.359508,37177870
2022-11-08,1.359394,1.376299,1.103949,1.163217,1.163217,77370222
2022-11-09,1.163258,1.173552,0.989147,1.018575,1.018575,79332582
2022-11-10,1.017928,1.131114,1.008926,1.121429,1.121429,40462567
2022-11-11,1.121182,1.127805,1.003677,1.029373,1.029373,27792155
2022-11-12,1.029693,1.032295,0.987797,1.001946,1.001946,18193137
2022-11-13,1.002035,1.021833,0.967484,0.978749,0.978749,24739944
